address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
35 Walton Street,poi,35306,51.49529,-0.166223,London,The Enterprise,4ac518bef964a52005a320e3,0,Pub,http://tour-pedia.org/api/getPlaceDetails?id=35306,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35306
Threadneedle St.,poi,35537,51.51419285111,-0.087280701822925,London,Bank of England Museum,4ac518cdf964a520e7a520e3,0,Museum,http://tour-pedia.org/api/getPlaceDetails?id=35537,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35537
Westminster Pier,poi,35549,51.501498292211,-0.12311703428864,London,City Cruises,4ac518cef964a52006a620e3,0,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=35549,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35549
Rutland Road,poi,35551,51.541335,0.043324,London,Plashet Zoo,4ac518cef964a5200aa620e3,0,Monument / Landmark,http://tour-pedia.org/api/getPlaceDetails?id=35551,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35551
1 Lime St,poi,35554,51.512995876303,-0.082429647445679,London,Lloyd's of London,4ac518cef964a5200da620e3,0,Building,http://tour-pedia.org/api/getPlaceDetails?id=35554,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35554
Trafalgar Square,poi,35556,51.506769192297,-0.12868970632553,London,Admiralty Arch,4ac518cef964a52012a620e3,0,Monument / Landmark,http://tour-pedia.org/api/getPlaceDetails?id=35556,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35556
45 Maple St,poi,35561,51.521485,-0.138858,London,BT Tower,4ac518cef964a52018a620e3,0,Monument / Landmark,http://tour-pedia.org/api/getPlaceDetails?id=35561,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35561
3 Limeharbour,poi,35568,51.498057084074,-0.015578269958496,London,London Docklands Visitor Centre,4ac518cef964a52020a620e3,0,Monument / Landmark,http://tour-pedia.org/api/getPlaceDetails?id=35568,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35568
3 Minster Court,poi,35571,51.563979,0.234814,London,London Underwriting Centre,4ac518cef964a52024a620e3,0,Monument / Landmark,http://tour-pedia.org/api/getPlaceDetails?id=35571,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35571
107 Power Road,poi,35593,51.493881215531,-0.27959075464122,London,Topdeck Travel,4ac518cef964a5203fa620e3,0,General Travel,http://tour-pedia.org/api/getPlaceDetails?id=35593,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35593
Morgan's Ln,poi,35600,51.506163898949,-0.081319400302771,London,HMS Belfast,4ac518cef964a520faa520e3,0,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=35600,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35600
Victoria Embankment,poi,35603,51.50853545347,-0.12032389640808,London,Obelisk (Cleopatra's Needle),4ac518cef964a520fea520e3,0,Monument / Landmark,http://tour-pedia.org/api/getPlaceDetails?id=35603,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35603
27 St James's Place,poi,35612,51.50520454,-0.1399684,London,Spencer House,4ac518cff964a52052a620e3,0,Monument / Landmark,http://tour-pedia.org/api/getPlaceDetails?id=35612,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35612
